X,Y
-100,-75.00
-99,-74.20
-98,-73.40
-97,-72.60
-96,-71.80
-95,-71.00
-94,-70.20
-93,-69.40
-92,-68.60
-91,-67.80
-90,-67.00
-89,-66.20
-88,-65.40
-87,-64.60
-86,-63.80
-85,-63.00
-84,-62.20
-83,-61.40
-82,-60.60
-81,-59.80
-80,-59.00
-79,-58.20
-78,-57.40
-77,-56.60
-76,-55.80
-75,-55.00
-74,-54.20
-73,-53.40
-72,-52.60
-71,-51.80
-70,-51.00
-69,-50.20
-68,-49.40
-67,-48.60
-66,-47.80
-65,-47.00
-64,-46.20
-63,-45.40
-62,-44.60
-61,-43.80
-60,-43.00
-59,-42.20
-58,-41.40
-57,-40.60
-56,-39.80
-55,-39.00
-54,-38.20
-53,-37.40
-52,-36.60
-51,-35.80
-50,-35.00
-49,-34.20
-48,-33.40
-47,-32.60
-46,-31.80
-45,-31.00
-44,-30.20
-43,-29.40
-42,-28.60
-41,-27.80
-40,-27.00
-39,-26.20
-38,-25.40
-37,-24.60
-36,-23.80
-35,-23.00
-34,-22.20
-33,-21.40
-32,-20.60
-31,-19.80
-30,-19.00
-29,-18.20
-28,-17.40
-27,-16.60
-26,-15.80
-25,-15.00
-24,-14.20
-23,-13.40
-22,-12.60
-21,-11.80
-20,-11.00
-19,-10.20
-18,-9.40
-17,-8.60
-16,-7.80
-15,-7.00
-14,-6.20
-13,-5.40
-12,-4.60
-11,-3.80
-10,-3.00
-9,-2.20
-8,-1.40
-7,-.60
-6,.20
-5,1.00
-4,1.80
-3,2.60
-2,3.40
-1,4.20
0,5.00
1,5.80
2,6.60
3,7.40
4,8.20
5,9.00
6,9.80
7,10.60
8,11.40
9,12.20
10,13.00
11,13.80
12,14.60
13,15.40
14,16.20
15,17.00
16,17.80
17,18.60
18,19.40
19,20.20
20,21.00
21,21.80
22,22.60
23,23.40
24,24.20
25,25.00
26,25.80
27,26.60
28,27.40
29,28.20
30,29.00
31,29.80
32,30.60
33,31.40
34,32.20
35,33.00
36,33.80
37,34.60
38,35.40
39,36.20
40,37.00
41,37.80
42,38.60
43,39.40
44,40.20
45,41.00
46,41.80
47,42.60
48,43.40
49,44.20
50,45.00
51,45.80
52,46.60
53,47.40
54,48.20
55,49.00
56,49.80
57,50.60
58,51.40
59,52.20
60,53.00
61,53.80
62,54.60
63,55.40
64,56.20
65,57.00
66,57.80
67,58.60
68,59.40
69,60.20
70,61.00
71,61.80
72,62.60
73,63.40
74,64.20
75,65.00
76,65.80
77,66.60
78,67.40
79,68.20
80,69.00
81,69.80
82,70.60
83,71.40
84,72.20
85,73.00
86,73.80
87,74.60
88,75.40
89,76.20
90,77.00
91,77.80
92,78.60
93,79.40
94,80.20
95,81.00
96,81.80
97,82.60
98,83.40
99,84.20
100,85.00
101,85.80
102,86.60
103,87.40
104,88.20
105,89.00
106,89.80
107,90.60
108,91.40
109,92.20
110,93.00
111,93.80
112,94.60
113,95.40
114,96.20
115,97.00
116,97.80
117,98.60
118,99.40
119,100.20
120,101.00
121,101.80
122,102.60
123,103.40
124,104.20
125,105.00
126,105.80
127,106.60
128,107.40
129,108.20
130,109.00
131,109.80
132,110.60
133,111.40
134,112.20
135,113.00
136,113.80
137,114.60
138,115.40
139,116.20
140,117.00
