X,Y
406,329.80
407,330.60
408,331.40
409,332.20
410,333.00
411,333.80
412,334.60
413,335.40
414,336.20
415,337.00
416,337.80
417,338.60
418,339.40
419,340.20
420,341.00
421,341.80
422,342.60
423,343.40
424,344.20
425,345.00
426,345.80
427,346.60
428,347.40
429,348.20
430,349.00
431,349.80
432,350.60
433,351.40
434,352.20
435,353.00
436,353.80
437,354.60
438,355.40
439,356.20
440,357.00
441,357.80
442,358.60
443,359.40
444,360.20
445,361.00
446,361.80
447,362.60
448,363.40
449,364.20
450,365.00
451,365.80
452,366.60
453,367.40
454,368.20
455,369.00
456,369.80
457,370.60
458,371.40
459,372.20
460,373.00
461,373.80
462,374.60
463,375.40
464,376.20
465,377.00
466,377.80
467,378.60
468,379.40
469,380.20
470,381.00
471,381.80
472,382.60
473,383.40
474,384.20
475,385.00
476,385.80
477,386.60
478,387.40
479,388.20
480,389.00
481,389.80
482,390.60
483,391.40
484,392.20
485,393.00
486,393.80
487,394.60
488,395.40
489,396.20
490,397.00
491,397.80
492,398.60
493,399.40
494,400.20
495,401.00
496,401.80
497,402.60
498,403.40
499,404.20
500,405.00
501,405.80
502,406.60
503,407.40
504,408.20
505,409.00
506,409.80
507,410.60
508,411.40
509,412.20
510,413.00
511,413.80
512,414.60
513,415.40
514,416.20
515,417.00
516,417.80
517,418.60
518,419.40
519,420.20
520,421.00
521,421.80
522,422.60
523,423.40
524,424.20
525,425.00
526,425.80
527,426.60
528,427.40
529,428.20
530,429.00
531,429.80
532,430.60
533,431.40
534,432.20
535,433.00
536,433.80
537,434.60
538,435.40
539,436.20
540,437.00
541,437.80
542,438.60
543,439.40
544,440.20
545,441.00
546,441.80
547,442.60
548,443.40
549,444.20
550,445.00
551,445.80
552,446.60
553,447.40
554,448.20
555,449.00
556,449.80
557,450.60
558,451.40
559,452.20
560,453.00
561,453.80
562,454.60
563,455.40
564,456.20
565,457.00
566,457.80
567,458.60
568,459.40
569,460.20
570,461.00
571,461.80
572,462.60
573,463.40
574,464.20
575,465.00
