X,Y
-100,-68.00
-99,-76.20
-98,-78.40
-97,-107.60
-96,-57.80
-95,-60.00
-94,-74.20
-93,-87.40
-92,-61.60
-91,-67.80
-90,-52.00
-89,-69.20
-88,-53.40
-87,-51.60
-86,-34.80
-85,-101.00
-84,-74.20
-83,-62.40
-82,-87.60
-81,-72.80
-80,-64.00
-79,-76.20
-78,-60.40
-77,-86.60
-76,-64.80
-75,-67.00
-74,-17.20
-73,-46.40
-72,-87.60
-71,-67.80
-70,-51.00
-69,-60.20
-68,-40.40
-67,-62.60
-66,-77.80
-65,-71.00
-64,-37.20
-63,-24.40
-62,-81.60
-61,-27.80
-60,-30.00
-59,-11.20
-58,-44.40
-57,-34.60
-56,-14.80
-55,-31.00
-54,-53.20
-53,-75.40
-52,-11.60
-51,-29.80
-50,-31.00
-49,-34.20
-48,-3.40
-47,-63.60
-46,-24.80
-45,-12.00
-44,-30.20
-43,-52.40
-42,-66.60
-41,-31.80
-40,-53.00
-39,-35.20
-38,-49.40
-37,-19.60
-36,-5.80
-35,-12.00
-34,-31.20
-33,-46.40
-32,-4.60
-31,-24.80
-30,-55.00
-29,8.80
-28,2.60
-27,-24.60
-26,9.20
-25,13.00
-24,-15.20
-23,18.60
-22,10.40
-21,-15.80
-20,28.00
-19,-29.20
-18,-9.40
-17,13.40
-16,2.20
-15,-24.00
-14,-31.20
-13,24.60
-12,25.40
-11,-39.80
-10,29.00
-9,-29.20
-8,34.60
-7,30.40
-6,22.20
-5,-22.00
-4,36.80
-3,-6.40
-2,-9.60
-1,40.20
0,3.00
1,-27.20
2,-18.40
3,-6.60
4,41.20
5,-7.00
6,33.80
7,39.60
8,48.40
9,-15.80
10,9.00
11,12.80
12,-4.40
13,6.40
14,29.20
15,3.00
16,7.80
17,3.60
18,43.40
19,44.20
20,40.00
21,30.80
22,35.60
23,-5.60
24,14.20
25,34.00
26,15.80
27,3.60
28,.40
29,59.20
30,64.00
31,4.80
32,-.40
33,64.40
34,51.20
35,56.00
36,40.80
37,.60
38,33.40
39,12.20
40,8.00
41,49.80
42,68.60
43,18.40
44,56.20
45,18.00
46,60.80
47,43.60
48,57.40
49,70.20
50,74.00
51,29.80
52,14.60
53,24.40
54,67.20
55,67.00
56,22.80
57,34.60
58,23.40
59,58.20
60,57.00
61,31.80
62,36.60
63,64.40
64,47.20
65,95.00
66,22.80
67,65.60
68,87.40
69,40.20
70,41.00
71,47.80
72,94.60
73,29.40
74,86.20
75,88.00
76,76.80
77,96.60
78,79.40
79,90.20
80,48.00
81,78.80
82,86.60
83,48.40
84,51.20
85,110.00
86,83.80
87,49.60
88,59.40
89,48.20
90,66.00
91,89.80
92,97.60
93,92.40
94,45.20
95,93.00
96,59.80
97,90.60
98,58.40
99,105.20
100,77.00
101,115.80
102,95.60
103,101.40
104,57.20
105,61.00
106,61.80
107,107.60
108,52.40
109,54.20
110,130.00
111,71.80
112,55.60
113,117.40
114,96.20
115,118.00
116,63.80
117,126.60
118,87.40
119,89.20
120,118.00
121,113.80
122,79.60
123,87.40
124,101.20
125,68.00
126,83.80
127,89.60
128,113.40
129,138.20
130,89.00
131,91.80
132,139.60
133,144.40
134,73.20
135,88.00
136,87.80
137,88.60
138,83.40
139,100.20
140,119.00
