X,Y
-100,-47.55
-99,-27.09
-98,-26.19
-97,-25.61
-96,-24.65
-95,-23.92
-94,-23.34
-93,-22.74
-92,-22.06
-91,-21.14
-90,-20.14
-89,-19.72
-88,-19.21
-87,-18.34
-86,-17.58
-85,-16.92
-84,-15.90
-83,-15.36
-82,-14.68
-81,-13.97
-80,-13.41
-79,-12.61
-78,-11.61
-77,-11.07
-76,-10.09
-75,-9.53
-74,-8.67
-73,-8.26
-72,-7.57
-71,-6.53
-70,-5.60
-69,-5.07
-68,-4.59
-67,-4.17
-66,-3.34
-65,-2.42
-64,-1.83
-63,-1.38
-62,-1.09
-61,-.22
-60,.30
-59,.68
-58,.96
-57,1.62
-56,2.11
-55,2.77
-54,3.08
-53,3.78
-52,4.74
-51,5.04
-50,5.45
-49,5.90
-48,6.64
-47,6.82
-46,7.67
-45,8.31
-44,8.80
-43,9.51
-42,10.24
-41,11.11
-40,11.54
-39,12.26
-38,12.92
-37,13.45
-36,13.82
-35,14.44
-34,14.95
-33,15.37
-32,15.93
-31,16.20
-30,16.67
-29,17.42
-28,17.87
-27,18.33
-26,18.68
-25,19.11
-24,19.34
-23,19.87
-22,20.06
-21,20.53
-20,20.99
-19,21.42
-18,22.03
-17,22.57
-16,22.77
-15,23.06
-14,23.47
-13,24.13
-12,24.26
-11,24.39
-10,25.19
-9,25.39
-8,25.78
-7,26.16
-6,26.46
-5,26.90
-4,27.29
-3,27.70
-2,28.12
-1,28.57
0,28.92
1,29.41
2,29.88
3,30.35
4,30.83
5,30.94
6,31.34
7,31.58
8,31.89
9,32.28
10,32.73
11,33.08
12,33.62
13,34.25
14,34.53
15,34.78
16,35.13
17,35.47
18,35.80
19,36.03
20,36.34
21,36.76
22,37.06
23,37.33
24,37.78
25,38.15
26,38.44
27,38.80
28,39.22
29,39.66
30,39.84
31,40.00
32,40.42
33,40.87
34,41.03
35,41.25
36,41.44
37,41.71
38,42.15
39,42.45
40,42.85
41,43.27
42,43.50
43,43.64
44,44.01
45,44.21
46,44.59
47,44.76
48,45.02
49,45.22
50,45.35
51,45.46
52,45.78
53,46.18
54,46.53
55,46.68
56,46.82
57,47.19
58,47.49
59,47.86
60,48.05
61,48.25
62,48.57
63,48.88
64,49.05
65,49.30
66,49.31
67,49.69
68,49.85
69,49.90
70,50.19
71,50.48
72,50.73
73,50.74
74,51.09
75,51.14
76,51.18
77,51.28
78,51.26
79,51.34
80,51.35
81,51.60
82,51.67
83,51.70
84,51.94
85,52.16
86,52.05
87,52.09
88,52.32
89,52.50
90,52.74
91,52.88
92,52.88
93,52.83
94,52.80
95,53.06
96,53.03
97,53.20
98,53.18
99,53.36
100,53.25
101,53.31
102,53.12
103,53.06
104,52.95
105,53.12
106,53.27
107,53.42
108,53.26
109,53.46
110,53.66
111,53.35
112,53.42
113,53.59
114,53.35
115,53.25
116,52.99
117,53.10
118,52.77
119,52.71
120,52.63
121,52.34
122,52.07
123,52.04
124,51.95
125,51.75
126,51.79
127,51.71
128,51.58
129,51.27
130,50.76
131,50.61
132,50.44
133,49.88
134,49.27
135,49.20
136,49.02
137,48.82
138,48.62
139,48.44
140,83.72
