X,Y
-100,-58.23
-99,-28.46
-98,-27.33
-97,-26.78
-96,-25.99
-95,-25.16
-94,-24.16
-93,-23.53
-92,-23.00
-91,-22.47
-90,-21.92
-89,-21.10
-88,-20.28
-87,-19.50
-86,-18.72
-85,-18.00
-84,-17.22
-83,-16.60
-82,-16.00
-81,-15.31
-80,-14.64
-79,-13.86
-78,-12.95
-77,-12.12
-76,-11.56
-75,-11.09
-74,-10.17
-73,-9.55
-72,-8.70
-71,-7.95
-70,-6.99
-69,-6.27
-68,-5.50
-67,-5.06
-66,-4.43
-65,-4.02
-64,-3.37
-63,-2.48
-62,-2.01
-61,-1.44
-60,-.87
-59,-.21
-58,.59
-57,1.00
-56,1.72
-55,2.15
-54,2.69
-53,3.32
-52,4.02
-51,4.61
-50,5.29
-49,5.83
-48,6.33
-47,7.01
-46,7.43
-45,7.85
-44,8.47
-43,9.09
-42,9.61
-41,10.17
-40,10.59
-39,11.16
-38,11.82
-37,12.30
-36,12.96
-35,13.48
-34,14.04
-33,14.58
-32,14.91
-31,15.58
-30,16.09
-29,16.68
-28,17.18
-27,17.82
-26,18.32
-25,18.87
-24,19.56
-23,20.02
-22,20.72
-21,21.24
-20,21.61
-19,22.20
-18,22.70
-17,23.10
-16,23.62
-15,24.26
-14,24.80
-13,25.24
-12,25.52
-11,25.86
-10,26.30
-9,26.69
-8,27.06
-7,27.39
-6,27.93
-5,28.42
-4,29.02
-3,29.65
-2,29.94
-1,30.38
0,30.65
1,31.21
2,31.59
3,31.93
4,32.38
5,32.92
6,33.15
7,33.59
8,34.04
9,34.39
10,34.93
11,35.27
12,35.60
13,36.01
14,36.35
15,36.95
16,37.31
17,37.87
18,38.32
19,38.77
20,39.08
21,39.58
22,39.94
23,40.23
24,40.61
25,40.99
26,41.28
27,41.57
28,42.03
29,42.40
30,42.80
31,43.25
32,43.49
33,43.77
34,44.11
35,44.41
36,44.80
37,45.17
38,45.42
39,45.77
40,46.18
41,46.41
42,46.69
43,46.95
44,47.22
45,47.60
46,48.02
47,48.27
48,48.61
49,48.87
50,49.09
51,49.28
52,49.50
53,49.77
54,50.13
55,50.34
56,50.65
57,50.85
58,51.02
59,51.30
60,51.58
61,51.91
62,52.04
63,52.23
64,52.57
65,52.83
66,53.16
67,53.49
68,53.73
69,53.84
70,54.16
71,54.32
72,54.41
73,54.68
74,54.90
75,55.18
76,55.41
77,55.62
78,55.74
79,56.08
80,56.12
81,56.34
82,56.43
83,56.53
84,56.69
85,56.76
86,56.80
87,56.99
88,57.25
89,57.46
90,57.47
91,57.64
92,57.74
93,57.71
94,57.71
95,57.75
96,57.70
97,57.64
98,57.67
99,57.61
100,57.63
101,57.85
102,57.93
103,57.95
104,58.11
105,58.09
106,57.97
107,57.90
108,57.81
109,57.90
110,58.01
111,58.06
112,57.95
113,58.07
114,58.20
115,58.19
116,58.10
117,57.97
118,57.70
119,57.68
120,57.69
121,57.66
122,57.35
123,57.15
124,57.13
125,56.91
126,56.73
127,56.75
128,56.57
129,56.29
130,55.98
131,55.56
132,55.35
133,55.22
134,54.74
135,54.43
136,53.93
137,53.58
138,53.03
139,52.66
140,86.83
